Ticket_ID,Date_Logged,Customer_ID,Subject,Message_Body,Clean_Ticket,Complaint_Category
T000201,2023-12-12,C0047,Not working as expected,"<p>The product is defective.
Very disappointed.
What are my options?
Also: poor quality.

—
Regards,
A very unhappy customer</p><br><p>This is unacceptable.</p>

Order number: 100859","The product is defective. Very disappointed. What are my options? Also: poor quality. — Regards, A very unhappy customerThis is unacceptable. Order number: 100859",Piegādes jautājumi
T000007,2023-11-21,C0030,Where is my order?,My delivery is stuck.<br>Tracking shows in transit for days.<br>Please update me.<br><br><br><br>--<br>NordTech Customer,My delivery is stuck.Tracking shows in transit for days.Please update me.--NordTech Customer,Piegādes jautājumi
T000288,2023-12-18,C0237,Locked out of my home,"I am locked out — the lock does not respond.
The app shows offline.
I can't get into my house.

<p>Thanks</p><p>Customer</p>",I am locked out — the lock does not respond. The app shows offline. I can't get into my house. ThanksCustomer,Citi jautājumi
T000150,2023-12-09,C0122,I want a refund,"I want to get a refund for this product.<br>It is not as described.<br>Please send return instructions.<br><br>Sent from my iPhone

Order number: 100503",I want to get a refund for this product.It is not as described.Please send return instructions.Sent from my iPhone Order number: 100503,Naudas atgriešana
T000063,2023-11-29,C0004,NordLock Pro pairing issue,"The app will not connect to WiFi.
I tried resetting but it fails.
It worked once and then stopped.
Also: app won't connect.

—
Regards,
A very unhappy customer

My order #100459.","The app will not connect to WiFi. I tried resetting but it fails. It worked once and then stopped. Also: app won't connect. — Regards, A very unhappy customer My order #100459.",Kvalitātes problēmas
T000113,2023-12-06,C0145,Tracking shows no updates,"<p>My delivery is delayed.
Tracking shows in transit for days.
Where is my order?
Also: delivery late.

Sent from my Android device</p>

My order #100796.",My delivery is delayed. Tracking shows in transit for days. Where is my order? Also: delivery late. Sent from my Android device My order #100796.,Piegādes jautājumi
T000227,2023-12-14,C0010,Battery dies in 2 days,"My smart lock battery drains in 2 days.
I changed batteries and it still dies.
Please help ASAP.

<p>Thanks</p><p>Customer</p>

Order number: 100813",My smart lock battery drains in 2 days. I changed batteries and it still dies. Please help ASAP. ThanksCustomer Order number: 100813,Piegādes jautājumi
T000037,2023-11-26,C0240,Where is my order?,"<p>My delivery is late.
Tracking shows pending.
Please update me.
Also: courier.

—
Regards,
A very unhappy customer</p><br><p>This is unacceptable.</p>","My delivery is late. Tracking shows pending. Please update me. Also: courier. — Regards, A very unhappy customerThis is unacceptable.",Piegādes jautājumi
T000334,2023-12-21,C0003,NordLock Pro battery drains fast,"My NordLock Pro dies in 48 hours.
I tried new batteries and it still dies.
Please help ASAP.

<br><br>--<br>NordTech Customer

Order number: 101024",My NordLock Pro dies in 48 hours. I tried new batteries and it still dies. Please help ASAP. --NordTech Customer Order number: 101024,Piegādes jautājumi
T000065,2023-11-29,C0086,I want a refund,"I want to return this product.
It is defective.
How do I start an RMA?
Also: return.

Sent from my iPhone",I want to return this product. It is defective. How do I start an RMA? Also: return. Sent from my iPhone,Naudas atgriešana
T000232,2023-12-15,C0042,I want a refund,"<p>I want to return this product.
It is not working.
I need my money back.

Sent from my Android device</p>

My order #100512.",I want to return this product. It is not working. I need my money back. Sent from my Android device My order #100512.,Naudas atgriešana
T000018,2023-11-24,C0082,NordLock Pro battery drains fast,"My smart lock dies in 2 days.<br>I changed batteries and it still dies.<br>This is unacceptable.<br><br>Sent from my iPhone

Order number: 100292",My smart lock dies in 2 days.I changed batteries and it still dies.This is unacceptable.Sent from my iPhone Order number: 100292,Piegādes jautājumi
T000264,2023-12-17,C0004,Can't open the door,"<p>I am stuck outside — the lock does not respond.
The app shows offline.
I need immediate assistance.

—
Regards,
A very unhappy customer</p><br><p>Please help!</p>

My order #101101.","I am stuck outside — the lock does not respond. The app shows offline. I need immediate assistance. — Regards, A very unhappy customerPlease help! My order #101101.",Piegādes jautājumi
T000209,2023-12-13,C0042,Very disappointed,"<p>The product is broken.
Poor quality.
What are my options?

Sent from my Android device</p>

Ref: TX-100512",The product is broken. Poor quality. What are my options? Sent from my Android device Ref: TX-100512,Kvalitātes problēmas
T000322,2023-12-20,C0034,NordLock Pro won't unlock,"I am stuck outside — the lock does not respond.
The app shows offline.
This is urgent.

Sent from my iPhone",I am stuck outside — the lock does not respond. The app shows offline. This is urgent. Sent from my iPhone,Citi jautājumi
T000254,2023-12-16,C0017,NordLock Pro pairing issue,"<p>The app will not connect to the lock.
I tried reinstalling the app but it fails.
Please advise.

<p>Thanks</p><p>Customer</p></p>

Ref: TX-100977",The app will not connect to the lock. I tried reinstalling the app but it fails. Please advise. ThanksCustomer Ref: TX-100977,Kvalitātes problēmas
T000130,2023-12-08,C0267,NordLock Pro won't unlock,"<p>I am stuck outside — the lock does not respond.
The app shows offline.
I need immediate assistance.

Sent from my Android device</p>

My order #100881.",I am stuck outside — the lock does not respond. The app shows offline. I need immediate assistance. Sent from my Android device My order #100881.,Piegādes jautājumi
T000077,2023-12-01,C0191,Tracking shows no updates,"My delivery is stuck.<br>Tracking shows in transit for days.<br>Please update me.<br><br>—<br>Regards,<br>A very unhappy customer

Order number: 100311","My delivery is stuck.Tracking shows in transit for days.Please update me.—Regards,A very unhappy customer Order number: 100311",Piegādes jautājumi
T000243,2023-12-15,C0026,Can't connect the app,"<p>The app cannot connect to WiFi.
I tried pairing again but it fails.
It worked once and then stopped.
Also: app won't connect.

<br><br>--<br>NordTech Customer</p><br><p>ASAP</p>",The app cannot connect to WiFi. I tried pairing again but it fails. It worked once and then stopped. Also: app won't connect. --NordTech CustomerASAP,Kvalitātes problēmas
T000028,2023-11-25,C0122,Product defective,The product is broken.<br>Poor quality.<br>I want a replacement.<br><br>Sent from my Android device,The product is broken.Poor quality.I want a replacement.Sent from my Android device,Kvalitātes problēmas
T000003,2023-11-21,C0148,Very disappointed,"The product is not working.
Very disappointed.
Please help.
Also: broken.

—
Regards,
A very unhappy customer

Ref: TX-100114","The product is not working. Very disappointed. Please help. Also: broken. — Regards, A very unhappy customer Ref: TX-100114",Kvalitātes problēmas
T000102,2023-12-04,C0084,Return request,I want to return this product.<br>It is not working.<br>How do I start an RMA?<br><br><p>Thanks</p><p>Customer</p>,I want to return this product.It is not working.How do I start an RMA?ThanksCustomer,Citi jautājumi
T000181,2023-12-11,C0017,Can't open the door,"I am locked out — the lock will not unlock.<br>The app shows offline.<br>This is urgent.<br><br>Sent from my Android device

Ref: TX-100977",I am locked out — the lock will not unlock.The app shows offline.This is urgent.Sent from my Android device Ref: TX-100977,Citi jautājumi
T000257,2023-12-16,C0122,Battery problem with my lock,"My smart lock battery drains in 2 days.
I changed batteries and it still dies.
Please help ASAP.
Also: battery life.

—
Regards,
A very unhappy customer

Order number: 100503","My smart lock battery drains in 2 days. I changed batteries and it still dies. Please help ASAP. Also: battery life. — Regards, A very unhappy customer Order number: 100503",Piegādes jautājumi
T000146,2023-12-09,C0115,Battery dies in 2 days,"My NordLock Pro dies in a day.
I tried new batteries and it still dies.
I can't rely on this.

Sent from my Android device

My order #100730.",My NordLock Pro dies in a day. I tried new batteries and it still dies. I can't rely on this. Sent from my Android device My order #100730.,Piegādes jautājumi
T000273,2023-12-17,C0117,Battery problem with my lock,"<p>My NordLock Pro dies in 48 hours.
I changed batteries and it still dies.
Please help ASAP.
Also: 2 days.

Sent from my iPhone</p>",My NordLock Pro dies in 48 hours. I changed batteries and it still dies. Please help ASAP. Also: 2 days. Sent from my iPhone,Citi jautājumi
T000158,2023-12-09,C0083,Tracking shows no updates,"<p>My delivery is late.
Tracking shows in transit for days.
Where is my order?
Also: tracking.

Sent from my Android device</p><br><p>ASAP</p>

Order number: 100929",My delivery is late. Tracking shows in transit for days. Where is my order? Also: tracking. Sent from my Android deviceASAP Order number: 100929,Piegādes jautājumi
T000066,2023-11-29,C0065,Return request,"I want to get a refund for this product.
It is defective.
I need my money back.

Sent from my iPhone

My order #101197.",I want to get a refund for this product. It is defective. I need my money back. Sent from my iPhone My order #101197.,Naudas atgriešana
T000070,2023-11-30,C0249,Return request,"I want to get a refund for this product.
It is not as described.
Please send return instructions.

<p>Thanks</p><p>Customer</p>

Ref: TX-100219",I want to get a refund for this product. It is not as described. Please send return instructions. ThanksCustomer Ref: TX-100219,Naudas atgriešana
T000263,2023-12-17,C0276,Battery problem with my lock,"My smart lock battery drains in a day.
I changed batteries and it still dies.
This is unacceptable.

Sent from my Android device

Order number: 101147",My smart lock battery drains in a day. I changed batteries and it still dies. This is unacceptable. Sent from my Android device Order number: 101147,Piegādes jautājumi
T000291,2023-12-18,C0076,NordLock Pro pairing issue,"The app will not connect to WiFi.
I tried reinstalling the app but it fails.
Please advise.

Sent from my Android device

My order #101022.",The app will not connect to WiFi. I tried reinstalling the app but it fails. Please advise. Sent from my Android device My order #101022.,Kvalitātes problēmas
